Classification Name,Classification Code,Time,Time Code,Country Name,Country Code, ,1000000:GROSS DOMESTIC PRODUCT [1000000],9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE [9100000],9020000:ACTUAL INDIVIDUAL CONSUMPTION [9020000],1101000:FOOD AND NON-ALCOHOLIC BEVERAGES [1101000],1101100:FOOD [1101100],1101110:Bread and cereals [1101110],1101120:Meat [1101120],1101130:Fish and seafood [1101130],"1101140:Milk, cheese and eggs [1101140]",1101150:Oils and fats [1101150],1101160:Fruit [1101160],1101170:Vegetables [1101170],"1101180:Sugar, jam, honey, chocolate and confectionery [1101180]",1101190:Food products n.e.c. (Class) [1101190],1101200:NON-ALCOHOLIC BEVERAGES [1101200],"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS [1102000]",1102100:ALCOHOLIC BEVERAGES [1102100],1102200:TOBACCO [1102200],1103000:CLOTHING AND FOOTWEAR [1103000],"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS [9060000]","1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE [1105000]",9080000:ACTUAL HEALTH [9080000],1107000:TRANSPORT [1107000],1107100:PURCHASE OF VEHICLES [1107100],1107300:TRANSPORT SERVICES [1107300],1108000:COMMUNICATION [1108000],9110000:ACTUAL RECREATION AND CULTURE [9110000],9120000:ACTUAL EDUCATION [9120000],1111000:RESTAURANTS AND HOTELS [1111000],9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES [9140000],1113000:NET PURCHASES ABROAD [1113000],9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING [9260000],9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE [9270000],1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT [1300000],1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT [1400000],1500000:GROSS CAPITAL FORMATION [1500000],1501000:GROSS FIXED CAPITAL FORMATION [1501000],1501100:MACHINERY AND EQUIPMENT [1501100],1501200:CONSTRUCTION [1501200],1501300:OTHER PRODUCTS [1501300],1502000:CHANGES IN INVENTORIES [1502000],1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category) [1503000],1600000:BALANCE OF EXPORTS AND IMPORTS [1600000],9250000:DOMESTIC ABSORPTION [9250000],SP.EXCHG.RATE.ICP:Exchange Rate Value [SP.EXCHG.RATE.ICP],SP.POP.TOTL.ICP:Population [SP.POP.TOTL.ICP],SP.POP.TOTL.ICP.ZS:Population shares (World=100) [SP.POP.TOTL.ICP.ZS]
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Mongolia,MNG,,0.029,0.026,0.028,0.04,0.04,0.03,0.102,0,0.081,0.013,0.004,0.009,0.039,0.005,0.044,0.079,0.043,0.112,0.032,0.023,0.01,0.023,0.02,0.014,0.03,0.023,0.016,0.062,0.012,0.014,-0.073,0.027,0.043,0.042,0.044,0.028,0.023,0.018,0.024,0.017,0.139,0,0.047,0.029,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Myanmar,MMR,,0.196,0.194,0.183,0.453,0.476,0.516,0.393,1.293,0.167,0.787,0.543,0.49,0.031,0.474,0.155,0.148,0.038,0.211,0.17,0.263,0.055,0.132,0.046,0.017,0.114,0.068,0.035,0.179,0.166,0.045,0,0.196,0.276,0.09,0.454,0.206,0.208,0.187,0.264,0.059,0.181,0,-0.843,0.21,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,New Zealand,NZL,,0.163,0.16,0.172,0.151,0.141,0.104,0.137,0.087,0.129,0.11,0.132,0.088,0.192,0.368,0.27,0.21,0.527,0.058,0.191,0.143,0.197,0.188,0.213,0.22,0.206,0.165,0.251,0.17,0.146,0.138,0,0.159,0.206,0.249,0.157,0.132,0.136,0.259,0.076,0.152,0.06,0,0.434,0.161,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Philippines,PHL,,0.682,0.926,0.866,1.884,1.828,3.33,1.817,5.949,1.028,0.68,0.727,0.819,0.745,0.929,2.649,0.486,0.201,0.971,0.18,0.732,0.674,0.269,0.737,0.277,1.882,0.578,0.264,1.055,0.652,0.897,0,0.933,0.455,0.412,0.499,0.548,0.573,0.506,0.648,0.291,0.062,0,-5.381,0.752,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Singapore,SGP,,0.441,0.24,0.229,0.099,0.092,0.085,0.095,0.181,0.051,0.062,0.11,0.059,0.072,0.169,0.193,0.073,0.069,0.081,0.191,0.181,0.217,0.126,0.222,0.137,0.488,0.298,0.662,0.203,0.589,0.32,0.336,0.241,0.274,0.147,0.421,0.48,0.474,0.394,0.345,0.645,0.656,0,14.858,0.31,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,"Taiwan, China",TWN,,0.931,0.863,0.869,0.538,0.535,0.637,0.524,1.047,0.297,0.209,0.899,0.426,0.303,0.309,0.569,0.591,0.297,1.037,1.036,0.803,0.727,1.01,0.854,0.661,0.756,1.209,1.428,0.713,1.497,1.081,0,0.866,0.879,0.903,0.836,0.643,0.683,0.737,0.473,0.693,-0.184,0.194,12.768,0.806,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Thailand,THA,,1.006,0.858,0.892,1.137,1.067,1.183,0.734,2.177,0.593,0.974,0.944,1.85,0.577,0.229,1.99,0.672,0.697,0.56,0.429,0.683,0.658,0.73,0.822,0.537,1.047,0.52,0.656,1.354,1.814,0.856,0,0.866,1.097,1.151,1.066,0.782,0.836,1.104,0.701,0.224,-0.237,0,10.968,0.878,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Vietnam,VNM,,0.566,0.585,0.579,0.847,0.877,1.374,1.263,1.81,0.269,0.383,0.539,0.522,0.237,0.64,0.435,0.884,0.623,1.093,0.761,0.752,0.673,0.554,0.49,0.595,0.386,0.193,0.437,1.136,0.601,0.185,9.986,0.589,0.581,0.528,0.644,0.471,0.443,0.236,0.76,0.081,1.114,0,1.092,0.556,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Europe & Central Asia (ICP),ECB,,25.773,24.102,26.114,23.597,23.111,19.425,25.355,15.451,31.869,26.515,23.153,18.924,35.402,13.472,30.708,41.733,44.765,31.529,25.15,25.82,27.84,24.781,23.739,25.167,19.942,26.408,31.374,26.643,24.838,26.894,52.014,23.311,33.803,39.199,28.199,22.719,22.793,25.14,16.2,33.846,20.32,46.553,127.769,25.296,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Albania,ALB,,0.031,0.038,0.04,0.076,0.08,0.063,0.084,0.034,0.1,0.095,0.153,0.113,0.042,0.007,0.027,0.038,0.036,0.037,0.02,0.029,0.035,0.044,0.011,0.012,0.009,0.014,0.064,0.086,0.024,0.016,0,0.04,0.043,0.046,0.04,0.025,0.027,0.014,0.039,0.003,-0.014,0,-0.344,0.036,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Armenia,ARM,,0.03,0.041,0.041,0.085,0.087,0.096,0.063,0.027,0.109,0.143,0.063,0.135,0.068,0.023,0.052,0.098,0.098,0.069,0.019,0.059,0.011,0.03,0.018,0.02,0.038,0.067,0.012,0.064,0.011,0.014,-0.108,0.038,0.042,0.033,0.049,0.009,0.012,0.012,0.012,0.003,0.032,0.013,-0.246,0.033,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Austria,AUT,,0.402,0.36,0.376,0.227,0.214,0.208,0.188,0.095,0.361,0.263,0.228,0.123,0.436,0.208,0.409,0.54,0.573,0.43,0.493,0.365,0.534,0.364,0.368,0.421,0.211,0.336,0.532,0.248,0.728,0.378,6.382,0.357,0.413,0.469,0.351,0.452,0.441,0.525,0.271,0.733,0.421,3.431,2.418,0.39,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Azerbaijan,AZE,,0.116,0.129,0.133,0.225,0.234,0.148,0.278,0.09,0.136,0.346,0.363,0.262,0.397,0.024,0.114,0.142,0.081,0.199,0.151,0.118,0.11,0.064,0.094,0.054,0.288,0.343,0.064,0.305,0.084,0.049,0.255,0.13,0.152,0.135,0.166,0.044,0.063,0.076,0.066,0.004,0.032,0.039,0.478,0.113,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Belarus,BLR,,0.145,0.144,0.166,0.214,0.216,0.138,0.262,0.134,0.322,0.173,0.193,0.246,0.23,0.088,0.183,0.473,0.566,0.359,0.093,0.187,0.082,0.165,0.094,0.103,0.168,0.373,0.09,0.39,0.043,0.091,-0.573,0.138,0.252,0.342,0.17,0.072,0.09,0.113,0.077,0.057,0.282,0.171,0.02,0.148,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Belgium,BEL,,0.483,0.42,0.466,0.384,0.378,0.376,0.424,0.285,0.494,0.282,0.293,0.291,0.661,0.228,0.467,0.709,0.722,0.548,0.466,0.394,0.565,0.533,0.388,0.429,0.126,0.26,0.548,0.396,0.351,0.562,-4.551,0.421,0.583,0.751,0.405,0.559,0.558,0.733,0.364,0.744,0.566,0.032,1.23,0.479,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Bosnia and Herzegovina,BIH,,0.039,0.049,0.052,0.075,0.072,0.057,0.097,0.022,0.155,0.077,0.077,0.035,0.085,0.03,0.114,0.186,0.059,0.266,0.024,0.06,0.054,0.04,0.028,0.011,0.025,0.033,0.035,0.071,0.055,0.038,0.51,0.048,0.065,0.065,0.065,0.023,0.025,0.031,0.026,0.006,-0.016,0,-0.518,0.045,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Bulgaria,BGR,,0.127,0.129,0.139,0.126,0.126,0.116,0.133,0.04,0.15,0.114,0.091,0.105,0.188,0.211,0.129,0.244,0.178,0.244,0.063,0.172,0.118,0.193,0.116,0.048,0.163,0.191,0.139,0.162,0.153,0.086,1.709,0.122,0.185,0.192,0.174,0.084,0.081,0.096,0.075,0.051,0.137,0.002,0.448,0.126,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Croatia,HRV,,0.092,0.086,0.094,0.103,0.096,0.08,0.131,0.051,0.136,0.113,0.078,0.06,0.165,0.048,0.201,0.25,0.225,0.221,0.072,0.124,0.088,0.107,0.064,0.057,0.052,0.124,0.144,0.108,0.211,0.067,6.19,0.081,0.14,0.139,0.14,0.081,0.079,0.088,0.075,0.052,0.118,0,0.06,0.094,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Cyprus,CYP,,0.027,0.03,0.029,0.024,0.023,0.02,0.025,0.015,0.033,0.021,0.028,0.022,0.025,0.012,0.031,0.071,0.052,0.063,0.034,0.028,0.034,0.018,0.042,0.045,0.025,0.033,0.033,0.023,0.082,0.023,1.393,0.03,0.021,0.019,0.024,0.025,0.028,0.04,0.02,0.025,-0.03,-0.025,-0.015,0.028,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Czech Republic,CZE,,0.341,0.271,0.312,0.274,0.267,0.219,0.351,0.073,0.457,0.283,0.252,0.18,0.394,0.168,0.371,0.845,0.888,0.657,0.161,0.341,0.271,0.43,0.215,0.303,0.14,0.2,0.402,0.301,0.417,0.201,2.697,0.26,0.526,0.596,0.446,0.326,0.326,0.44,0.22,0.375,0.3,0.306,2.852,0.324,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Denmark,DNK,,0.266,0.198,0.238,0.173,0.162,0.1,0.182,0.089,0.27,0.208,0.169,0.109,0.374,0.107,0.315,0.322,0.412,0.209,0.181,0.213,0.258,0.264,0.208,0.233,0.071,0.215,0.347,0.206,0.161,0.344,1.122,0.195,0.362,0.499,0.216,0.271,0.273,0.359,0.16,0.448,0.167,0.652,4.045,0.243,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Estonia,EST,,0.037,0.031,0.035,0.038,0.038,0.029,0.04,0.026,0.077,0.023,0.031,0.021,0.087,0.024,0.042,0.088,0.12,0.05,0.033,0.032,0.026,0.031,0.029,0.021,0.024,0.036,0.044,0.042,0.036,0.028,0.374,0.03,0.055,0.058,0.053,0.037,0.037,0.046,0.031,0.028,0.025,0.001,0.201,0.036,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Finland,FIN,,0.219,0.199,0.222,0.168,0.164,0.116,0.125,0.102,0.305,0.16,0.154,0.088,0.314,0.33,0.222,0.305,0.421,0.161,0.18,0.214,0.217,0.188,0.198,0.217,0.109,0.267,0.331,0.197,0.178,0.286,-0.533,0.196,0.299,0.365,0.224,0.213,0.214,0.254,0.159,0.252,0.154,0.112,0.051,0.219,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,France,FRA,,2.505,2.293,2.636,2.104,2.035,1.897,2.029,1.417,3.237,1.554,1.596,1.729,3.759,1.189,3.104,3.345,5.054,1.759,1.926,2.512,2.474,3.023,2.601,2.676,1.448,2.374,3.314,2.242,2.242,3.336,13.9,2.262,3.573,4.892,2.259,2.471,2.467,1.865,1.778,4.512,2.435,1.106,-4.802,2.552,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Georgia,GEO,,0.042,0.048,0.048,0.054,0.052,0.065,0.06,0.008,0.064,0.088,,,,0.019,0.083,0.099,0.063,0.112,0.015,0.063,0.033,0.049,0.037,0.006,0.059,0.045,0.038,0.098,0.021,0.032,0,,0.06,0.042,0.078,0.037,0.036,0.039,0.036,0.022,0.047,0,-0.313,0.047,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Germany,DEU,,3.665,3.331,3.634,2.552,2.406,2.027,2.216,0.785,4.549,2.243,2.586,1.979,4.545,1.701,4.596,4.474,6.022,2.859,3.533,3.042,4.599,3.894,3.496,4.913,1.689,2.921,5.303,2.361,2.381,4.924,-27.77,3.359,4.215,5.465,2.901,2.998,3.075,4.46,1.777,4.638,0.166,10.27,45.562,3.402,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Greece,GRC,,0.262,0.296,0.298,0.313,0.32,0.296,0.358,0.218,0.436,0.585,0.497,0.279,0.222,0.043,0.222,0.543,0.206,0.571,0.226,0.355,0.179,0.24,0.332,0.279,0.523,0.299,0.266,0.314,0.735,0.221,10.379,0.278,0.332,0.283,0.386,0.144,0.155,0.21,0.118,0.136,-0.092,0.006,-0.363,0.269,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Hungary,HUN,,0.242,0.202,0.223,0.201,0.187,0.171,0.242,0.026,0.356,0.188,0.169,0.111,0.292,0.085,0.398,0.563,0.574,0.406,0.121,0.24,0.172,0.24,0.174,0.132,0.086,0.201,0.26,0.257,0.277,0.213,2.752,0.195,0.381,0.362,0.401,0.21,0.213,0.3,0.177,0.127,0.088,0.38,1.81,0.232,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Iceland,ISL,,0.016,0.013,0.014,0.014,0.013,0.008,0.012,0.021,0.021,0.017,0.009,0.008,0.029,0.014,0.027,0.017,0.023,0.007,0.01,0.015,0.019,0.012,0.019,0.022,0.007,0.012,0.027,0.013,0.026,0.014,0.801,0.013,0.02,0.023,0.016,0.016,0.017,0.028,0.011,0.018,0.001,0,0.178,0.015,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Ireland,IRL,,0.314,0.152,0.164,0.101,0.097,0.075,0.135,0.05,0.106,0.102,0.087,0.096,0.132,0.057,0.149,0.222,0.262,0.1,0.148,0.136,0.171,0.148,0.191,0.248,0.159,0.134,0.176,0.185,0.379,0.127,-0.606,0.154,0.197,0.236,0.153,0.52,0.505,0.385,0.158,1.691,0.831,0.012,12.976,0.239,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Italy,ITA,,2.116,2.109,2.157,2.032,1.968,1.711,2.054,2.052,2.658,2.86,2.047,1.864,1.935,0.576,2.924,3.695,2.126,2.267,2.943,2.302,2.798,1.692,2.149,2.034,1.441,1.736,2.211,1.551,3.122,1.809,15.862,2.061,2.157,2.354,1.946,1.895,1.923,2.1,1.362,2.724,0.973,2.931,10.234,2.07,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Kazakhstan,KAZ,,0.375,0.353,0.378,0.454,0.458,0.357,0.589,0.21,0.591,0.525,0.326,0.454,0.607,0.125,0.414,0.906,0.848,0.704,0.219,0.384,0.186,0.268,0.367,0.227,1.308,0.66,0.224,1.057,0.087,0.266,-0.308,0.368,0.501,0.523,0.477,0.2,0.21,0.34,0.152,0.107,1.634,0,2.332,0.358,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Kyrgyzstan,KGZ,,0.026,0.035,0.038,0.063,0.064,0.108,0.065,0.003,0.058,0.125,0.035,0.052,0.084,0.005,0.04,0.082,0.102,0.06,0.035,0.053,0.015,0.016,0.028,0.016,0.08,0.083,0.006,0.146,0.015,0.009,0.098,0.035,0.054,0.06,0.048,0.011,0.017,0.01,0.023,0.002,0.011,0.046,-0.433,0.032,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Latvia,LVA,,0.046,0.045,0.047,0.046,0.045,0.045,0.05,0.027,0.071,0.047,0.038,0.029,0.076,0.029,0.053,0.116,0.157,0.069,0.037,0.052,0.034,0.043,0.041,0.024,0.036,0.05,0.066,0.055,0.04,0.032,0.206,0.043,0.069,0.061,0.076,0.039,0.038,0.049,0.033,0.024,0.046,0.008,0.008,0.047,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Lithuania,LTU,,0.08,0.083,0.09,0.106,0.109,0.069,0.142,0.093,0.18,0.115,0.073,0.102,0.124,0.06,0.084,0.175,0.26,0.095,0.068,0.083,0.097,0.09,0.088,0.064,0.035,0.095,0.098,0.085,0.045,0.068,0.041,0.084,0.11,0.125,0.094,0.053,0.058,0.075,0.049,0.039,-0.059,0.043,0.199,0.08,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Luxembourg,LUX,,0.056,0.027,0.029,0.021,0.019,0.02,0.018,0.021,0.03,0.021,0.014,0.012,0.033,0.012,0.046,0.137,0.11,0.136,0.042,0.025,0.04,0.024,0.05,0.055,0.009,0.018,0.041,0.016,0.037,0.047,2.236,0.028,0.038,0.04,0.036,0.052,0.055,0.097,0.042,0.015,0.028,-0.52,3.95,0.034,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Moldova,MDA,,0.027,0.037,0.042,0.053,0.055,0.061,0.057,0.026,0.067,0.072,0.055,0.051,0.062,0.014,0.03,0.114,0.119,0.105,0.026,0.043,0.047,0.032,0.028,0.043,0.057,0.092,0.015,0.132,0.012,0.016,-0.029,0.035,0.051,0.072,0.031,0.009,0.013,0.013,0.014,0.003,0.007,0,-0.398,0.032,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Montenegro,MNE,,0.01,0.012,0.013,0.02,0.02,0.014,0.026,0.008,0.028,0.016,0.026,0.023,0.018,0.006,0.022,0.03,0.028,0.025,0.01,0.013,0.022,0.01,0.009,0.01,0.006,0.017,0.008,0.018,0.033,0.006,0.703,0.012,0.018,0.016,0.02,0.01,0.009,0.009,0.011,0.003,0.023,0,-0.199,0.012,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Netherlands,NLD,,0.793,0.595,0.696,0.548,0.539,0.631,0.418,0.227,0.669,0.616,0.436,0.476,0.985,0.675,0.683,0.793,0.849,0.499,0.739,0.562,0.781,0.662,0.555,0.52,0.283,0.542,1.075,0.577,0.725,0.971,-0.534,0.593,1.02,1.324,0.697,0.735,0.747,0.79,0.475,1.314,0.402,0.34,15.697,0.701,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,North Macedonia,MKD,,0.027,0.029,0.031,0.05,0.048,0.038,0.041,0.014,0.079,0.054,0.079,0.066,0.036,0.022,0.077,0.069,0.044,0.075,0.017,0.036,0.014,0.021,0.016,0.011,0.025,0.027,0.018,0.045,0.021,0.021,-0.124,0.027,0.041,0.041,0.04,0.029,0.021,0.018,0.027,0.007,0.188,0.011,-0.275,0.031,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Norway,NOR,,0.278,0.212,0.242,0.15,0.142,0.083,0.132,0.152,0.204,0.086,0.177,0.073,0.335,0.208,0.247,0.196,0.272,0.112,0.229,0.191,0.304,0.228,0.256,0.406,0.181,0.196,0.369,0.185,0.182,0.302,-6.245,0.214,0.347,0.421,0.261,0.346,0.315,0.275,0.273,0.352,1.074,0.07,2.446,0.266,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Poland,POL,,0.958,0.973,1.045,1.005,0.994,0.698,1.14,0.273,1.29,0.888,0.874,0.783,1.884,1.575,1.202,1.835,2.488,1.054,0.663,1.32,0.934,1.107,0.797,0.726,0.327,1.066,1.217,1.078,0.397,1.08,1.578,0.977,1.336,1.453,1.201,0.644,0.591,0.838,0.48,0.377,1.851,0.147,3.864,0.949,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Portugal,PRT,,0.285,0.297,0.305,0.337,0.345,0.33,0.356,0.697,0.36,0.53,0.381,0.203,0.25,0.116,0.256,0.366,0.406,0.284,0.354,0.275,0.29,0.292,0.323,0.385,0.134,0.215,0.298,0.278,0.675,0.293,9.357,0.29,0.315,0.325,0.303,0.23,0.235,0.194,0.227,0.254,0.095,0.226,0.391,0.287,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Romania,ROU,,0.447,0.463,0.49,0.692,0.711,0.603,1.21,0.232,0.599,0.469,0.708,0.778,0.548,0.345,0.503,0.723,0.925,0.456,0.277,0.559,0.42,0.646,0.315,0.161,0.386,0.713,0.439,0.492,0.213,0.214,-1.269,0.465,0.632,0.621,0.631,0.372,0.373,0.361,0.432,0.137,0.332,0.086,-0.789,0.468,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Russian Federation,RUS,,3.203,2.973,3.227,3.992,3.933,3.038,5.15,3.484,4.989,3.862,3.11,3.154,6.632,1.574,4.715,9.039,9.881,7.904,2.711,2.985,3.168,3.047,2.515,2.238,2.832,6.212,2.22,4.383,1.003,2.18,-16.005,3.002,5.616,4.969,6.076,2.144,2.026,2.161,1.455,2.814,4.007,17.527,14.8,3.115,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Serbia,SRB,,0.097,0.108,0.119,0.134,0.128,0.107,0.192,0.039,0.187,0.102,0.104,0.097,0.161,0.075,0.224,0.33,0.183,0.388,0.055,0.152,0.068,0.137,0.074,0.047,0.053,0.169,0.089,0.168,0.046,0.084,-0.029,0.105,0.171,0.188,0.153,0.058,0.055,0.069,0.044,0.047,0.122,0,-0.511,0.105,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Slovakia,SVK,,0.141,0.126,0.136,0.13,0.129,0.13,0.169,0.042,0.217,0.149,0.109,0.065,0.18,0.083,0.147,0.279,0.284,0.184,0.088,0.165,0.153,0.147,0.067,0.065,0.07,0.141,0.189,0.14,0.109,0.101,0.327,0.123,0.218,0.196,0.239,0.125,0.12,0.205,0.086,0.061,0.215,0.061,0.366,0.14,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Slovenia,SVN,,0.063,0.055,0.059,0.054,0.052,0.039,0.057,0.017,0.092,0.052,0.057,0.049,0.071,0.027,0.08,0.126,0.095,0.113,0.059,0.057,0.055,0.055,0.074,0.083,0.014,0.048,0.077,0.055,0.066,0.051,1.242,0.055,0.076,0.081,0.07,0.056,0.054,0.078,0.038,0.052,0.105,0.006,0.753,0.059,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Spain,ESP,,1.542,1.491,1.533,1.367,1.324,0.845,1.623,2.085,1.512,1.757,1.25,0.91,1.015,1.383,1.984,2.712,2.181,1.731,1.62,1.444,1.473,1.18,1.667,1.719,0.869,1.033,1.882,1.311,3.682,1.383,32.046,1.478,1.669,1.734,1.615,1.404,1.408,1.426,0.592,3.531,0.968,3.609,8.222,1.507,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Sweden,SWE,,0.443,0.348,0.405,0.316,0.3,0.209,0.251,0.215,0.512,0.286,0.312,0.218,0.88,0.197,0.532,0.427,0.57,0.268,0.312,0.41,0.47,0.297,0.361,0.538,0.259,0.424,0.597,0.344,0.303,0.582,-1.293,0.329,0.608,0.745,0.439,0.488,0.494,0.723,0.237,0.971,0.318,0.269,3.042,0.427,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Switzerland,CHE,,0.475,0.409,0.382,0.253,0.243,0.197,0.178,0.119,0.467,0.232,0.319,0.186,0.447,0.292,0.417,0.707,0.911,0.365,0.397,0.369,0.421,0.336,0.383,0.64,0.289,0.503,0.505,0.227,0.401,0.501,0,0.408,0.262,0.216,0.309,0.547,0.585,0.91,0.236,1.313,-0.64,2.798,12.572,0.412,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Tajikistan,TJK,,0.023,0.028,0.032,0.051,0.053,0.064,0.037,0.001,0.035,0.137,0.078,0.054,0.076,0.011,0.022,0.004,0.005,0.003,0.029,0.067,0.014,0.02,0.012,0.015,0.05,0.061,0.01,0.105,0.006,0.007,-0.166,0.027,0.045,0.059,0.03,0.011,0.013,0.013,0.015,0.001,0.061,0,-0.32,0.027,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Turkey,TUR,,1.895,1.723,1.983,1.547,1.541,1.111,1.358,0.367,2.175,3.088,3.305,1.588,1.907,0.413,1.659,1.413,0.257,2.626,2.324,3.049,2.713,1.438,1.621,0.9,3.4,1.346,1.319,3.002,1.571,2.232,16.289,1.444,2.737,4.116,1.531,2.201,2.25,1.714,2.569,1.733,1.14,0,-6.733,2.01,,,
"Share of global expenditure, PPP-based (World = 100%)",PP.CD.ZS,2017,YR2017,Ukraine,UKR,,0.422,0.442,0.538,0.819,0.849,0.928,0.99,0.465,1.003,1.617,,,,0.388,0.487,1.408,1.122,1.488,0.145,0.426,0.255,0.726,0.213,0.16,0.296,0.662,0.19,1.058,0.162,0.423,-3.304,,1.05,1.339,0.791,0.216,0.181,0.212,0.211,0.032,0.998,0.008,-1.512,0.46,,,
